FILE	FLAG	POST	VALUE	SOURCE	DESTINATION
Holy-Bible---Polish---Polish-Updated-Gdansk				http://ebible.org/pdf/polubg/polubg_prt.pdf	Holy-Bible---Polish---Polish-Updated-Gdansk---Source-Edition.pdf
Holy-Bible---Polish---Polish-Updated-Gdansk				http://ebible.org/Scriptures/polubg_vpl.zip	Holy-Bible---Polish---Polish-Updated-Gdansk---Source-Edition.VPL.zip
Holy-Bible---Portuguese---Almeida-Bible-1911	SWORD			http://crosswire.org/ftpmirror/pub/sword/packages/rawzip/PorAlmeida1911.zip	Holy-Bible---Portuguese---Almeida-Bible-1911---Source-Edition.SWORD.zip
Holy-Bible---Portuguese---Almeida-NewOrthography				./aion_source/Holy-Bible---Portuguese---Almeida-NewOrthography.unbound.zip	Holy-Bible---Portuguese---Almeida-NewOrthography---Source-Edition.UNBOUND.zip
Holy-Bible---Portuguese---Biblia-Livre				./aion_source/Holy-Bible---Portuguese---Biblia-Livre.vpl.zip	Holy-Bible---Portuguese---Biblia-Livre---Source-Edition.VPL.zip
Holy-Bible---Portuguese---Portuguese-Trans-Trans				http://ebible.org/sword/zip/portft2018eb.zip	Holy-Bible---Portuguese---Portuguese-Trans-Trans---Source-Edition.SWORD.zip
Holy-Bible---Portuguese---Portuguese-Trans-Trans				http://ebible.org/epub/portft.epub	Holy-Bible---Portuguese---Portuguese-Trans-Trans---Source-Edition.epub
Holy-Bible---Portuguese---Portuguese-Trans-Trans				http://ebible.org/pdf/portft/portft_prt.pdf	Holy-Bible---Portuguese---Portuguese-Trans-Trans---Source-Edition.pdf
Holy-Bible---Portuguese---Portuguese-Trans-Trans				http://ebible.org/Scriptures/portft_vpl.zip	Holy-Bible---Portuguese---Portuguese-Trans-Trans---Source-Edition.VPL.zip
Holy-Bible---Romanian---Bayash-Luke				http://ebible.org/sword/zip/ronBayash2018eb.zip	Holy-Bible---Romanian---Bayash-Luke---Source-Edition.SWORD.zip
Holy-Bible---Romanian---Bayash-Luke				http://ebible.org/epub/ronBayash.epub	Holy-Bible---Romanian---Bayash-Luke---Source-Edition.epub
Holy-Bible---Romanian---Bayash-Luke				http://ebible.org/pdf/ronBayash/ronBayash_prt.pdf	Holy-Bible---Romanian---Bayash-Luke---Source-Edition.pdf
Holy-Bible---Romanian---Bayash-Luke				http://ebible.org/Scriptures/ronBayash_vpl.zip	Holy-Bible---Romanian---Bayash-Luke---Source-Edition.VPL.zip
Holy-Bible---Romanian---Ludari-Luke				https://eBible.org/sword/zip/ronludari12019eb.zip	Holy-Bible---Romanian---Ludari-Luke---Source-Edition.SWORD.zip
Holy-Bible---Romanian---Ludari-Luke				http://ebible.org/epub/ronludari.epub	Holy-Bible---Romanian---Ludari-Luke---Source-Edition.epub
Holy-Bible---Romanian---Ludari-Luke				http://ebible.org/pdf/ronludari/ronludari_prt.pdf	Holy-Bible---Romanian---Ludari-Luke---Source-Edition.pdf
Holy-Bible---Romanian---Ludari-Luke				http://ebible.org/Scriptures/ronludari_vpl.zip	Holy-Bible---Romanian---Ludari-Luke---Source-Edition.VPL.zip
Holy-Bible---Romani-Vlax---Arli-Luke				https://eBible.org/sword/zip/rmyArli2018eb.zip	Holy-Bible---Romani-Vlax---Arli-Luke---Source-Edition.SWORD.zip
Holy-Bible---Romani-Vlax---Arli-Luke				http://ebible.org/epub/rmyArli.epub	Holy-Bible---Romani-Vlax---Arli-Luke---Source-Edition.epub
Holy-Bible---Romani-Vlax---Arli-Luke				http://ebible.org/pdf/rmyArli/rmyArli_prt.pdf	Holy-Bible---Romani-Vlax---Arli-Luke---Source-Edition.pdf
Holy-Bible---Romani-Vlax---Arli-Luke				http://ebible.org/Scriptures/rmyArli_vpl.zip	Holy-Bible---Romani-Vlax---Arli-Luke---Source-Edition.VPL.zip
Holy-Bible---Romani-Vlax---Chergash-Luke				https://eBible.org/sword/zip/rmyChergash2018eb.zip	Holy-Bible---Romani-Vlax---Chergash-Luke---Source-Edition.SWORD.zip
Holy-Bible---Romani-Vlax---Chergash-Luke				http://ebible.org/epub/rmyChergash.epub	Holy-Bible---Romani-Vlax---Chergash-Luke---Source-Edition.epub
Holy-Bible---Romani-Vlax---Chergash-Luke				http://ebible.org/pdf/rmyChergash/rmyChergash_prt.pdf	Holy-Bible---Romani-Vlax---Chergash-Luke---Source-Edition.pdf
Holy-Bible---Romani-Vlax---Chergash-Luke				http://ebible.org/Scriptures/rmyChergash_vpl.zip	Holy-Bible---Romani-Vlax---Chergash-Luke---Source-Edition.VPL.zip
Holy-Bible---Romani-Vlax---Gurbet-Luke				https://eBible.org/sword/zip/rmyGurbet2018eb.zip	Holy-Bible---Romani-Vlax---Gurbet-Luke---Source-Edition.SWORD.zip
Holy-Bible---Romani-Vlax---Gurbet-Luke				http://ebible.org/epub/rmyGurbet.epub	Holy-Bible---Romani-Vlax---Gurbet-Luke---Source-Edition.epub
Holy-Bible---Romani-Vlax---Gurbet-Luke				http://ebible.org/pdf/rmyGurbet/rmyGurbet_prt.pdf	Holy-Bible---Romani-Vlax---Gurbet-Luke---Source-Edition.pdf
Holy-Bible---Romani-Vlax---Gurbet-Luke				http://ebible.org/Scriptures/rmyGurbet_vpl.zip	Holy-Bible---Romani-Vlax---Gurbet-Luke---Source-Edition.VPL.zip
Holy-Bible---Rote-Dela---Rote-Dela-Bible				http://ebible.org/sword/zip/row2016eb.zip	Holy-Bible---Rote-Dela---Rote-Dela-Bible---Source-Edition.SWORD.zip
Holy-Bible---Rote-Dela---Rote-Dela-Bible				http://ebible.org/epub/row.epub	Holy-Bible---Rote-Dela---Rote-Dela-Bible---Source-Edition.epub
Holy-Bible---Rote-Dela---Rote-Dela-Bible				http://ebible.org/pdf/row/row_prt.pdf	Holy-Bible---Rote-Dela---Rote-Dela-Bible---Source-Edition.pdf
Holy-Bible---Rote-Dela---Rote-Dela-Bible				http://ebible.org/Scriptures/row_vpl.zip	Holy-Bible---Rote-Dela---Rote-Dela-Bible---Source-Edition.VPL.zip
Holy-Bible---Russian---Russian-Synodal-Translation				http://ebible.org/sword/zip/rusSYN1876eb.zip	Holy-Bible---Russian---Russian-Synodal-Translation---Source-Edition.SWORD.zip
