# File Name: ANAVIGATION.txt
# File Size: 21277       
# File Date: 12/19/2024 19:23:45
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	STATUS	MISSING
Holy-Bible---Luganda---Luganda-Bible		
Holy-Bible---Mahasu-Pahari---Baghlayani-Bible		
Holy-Bible---Malagasy---Malagasy-Bible		
Holy-Bible---Malagasy---Tandroy-Mahafaly-Bible		
Holy-Bible---Malayalam---1910-Contemporary		
Holy-Bible---Malayalam---Contemporary		
Holy-Bible---Malayalam---Contemporary	VERSMISS	042-LUK-001-055
Holy-Bible---Malayalam---Contemporary	VERSMISS	049-EPH-003-011
Holy-Bible---Malayalam---Malayalam-Bible		
Holy-Bible---Malayalam---Malayalam-Bible-1910		
Holy-Bible---Manipuri---Meitei-Bible		
Holy-Bible---Maori---Maori-Bible		
Holy-Bible---Marathi---Marathi-Bible		
Holy-Bible---Munda---Munda-Bible		
Holy-Bible---Mwera---Mwera-Bible		
Holy-Bible---Myanmar---Burmese-Common-Bible		
Holy-Bible---Myanmar---Burmese-Judson		
Holy-Bible---Myanmar---Myanmar-Burmese-Judson		
Holy-Bible---Myanmar---Myanmar-Burmese-Judson	VERSMISS	042-LUK-001-070
Holy-Bible---Naga-Pidgin---Nagamese-Bible		
Holy-Bible---Naga-Tutsa---Tutsa-Naga-Bible		
Holy-Bible---Naga-Tutsa---Tutsa-Naga-Bible	VERSMISS	058-HEB-013-021
Holy-Bible---Ndebele---Accessible-Bible		
Holy-Bible---Ndebele---Ndebele-Bible		
Holy-Bible---Ndengereko---Ndengereko-Bible		
Holy-Bible---Nend---Mark		
Holy-Bible---Nepali---Nepali-Bible		
Holy-Bible---Ngoni---Ngoni-Bible		
Holy-Bible---Norwegian---Living-Bible		
Holy-Bible---Norwegian---Norwegian-Bible		
