# File Name: TALLY.txt
# File Size: 22407       
# File Date: 09/05/2024 15:09:08
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	AIONIAN	STANDARD	SOURCE
Holy-Bible---Janji---Janji-Bible	7947	7947	7952
Holy-Bible---Japanese---Japanese-Bungo-yaku	31099	31099	31099
Holy-Bible---Japanese---Japanese-Electronic-Network-Bible	5516	5516	5517
Holy-Bible---Japanese---Japanese-Kougo-yaku	31086	31086	31086
Holy-Bible---Japanese---Japanese-Meiji-yaku	10694	10694	10694
Holy-Bible---Japanese---Japanese-Raguet-yaku	7952	7952	7953
Holy-Bible---Japanese---New-Japanese-New-Testament	7939	7939	7941
Holy-Bible---Juray---Juray-Bible	7957	7957	7959
Holy-Bible---Kamano---Kamano-Kafe	31091	31091	31092
Holy-Bible---Kannada---Kannada-Bible	31029	31029	31031
Holy-Bible---Kannada---Open-Contemporary	31089	31089	31090
Holy-Bible---Kara---Kara-Bible	7950	7950	7955
Holy-Bible---Kiche---Totonicapan	7955	7955	7957
Holy-Bible---Kinga---Mahanji-Bible	7905	7905	7908
Holy-Bible---Kisi---Kisi-Bible	7943	7943	7948
Holy-Bible---Korean---Korean-RV	31011	31011	31039
Holy-Bible---Korean---Korean-Revised-Version	31084	31084	31085
Holy-Bible---Kosraean---Kosraean-Bible	30944	30944	30947
Holy-Bible---Kuhane---Kuhane-Bible	7952	7952	7956
Holy-Bible---Kurdish---Sorani-Bible	31102	31102	31103
Holy-Bible---Kuvi---Kuvi-Bible	7868	7868	7870
Holy-Bible---Latin---Clementine-Vulgate-1598	31096	31096	31457
Holy-Bible---Latin---Clementine-Vulgate-Conte	31096	31096	31352
Holy-Bible---Latin---Clementine-Vulgate-Hetzenauer	31096	31096	31457
Holy-Bible---Latin---Clementine-Vulgate-Tweedale	31096	31096	31457
Holy-Bible---Latin---Vulgata-Sistina	31092	31092	31454
Holy-Bible---Latin---Vulgate-Jerome	31086	31086	31458
Holy-Bible---Latvian---Latvian-Gluck-Bible	31102	31102	31102
Holy-Bible---Lingala---Lingala-Bible	31100	31100	31172
Holy-Bible---Lodhi---Lodhi-Bible	7956	7956	7958
Holy-Bible---Luganda---Luganda-Bible	31102	31102	31104
Holy-Bible---Mahasu-Pahari---Baghlayani-Bible	7953	7953	7955
Holy-Bible---Malagasy---Malagasy-Bible	31088	31088	31171
Holy-Bible---Malagasy---Tandroy-Mahafaly-Bible	31077	31077	31083
Holy-Bible---Malayalam---1910-Contemporary	31100	31100	31102
Holy-Bible---Malayalam---Contemporary	30949	30949	30950
Holy-Bible---Malayalam---Malayalam-Bible	31095	31095	31097
Holy-Bible---Malayalam---Malayalam-Bible-1910	31093	31093	31094
Holy-Bible---Manipuri---Meitei-Bible	7928	7928	7930
Holy-Bible---Maori---Maori-Bible	31102	31102	31102
Holy-Bible---Marathi---Marathi-Bible	31092	31092	31094
Holy-Bible---Munda---Munda-Bible	7957	7957	7959
Holy-Bible---Mwera---Mwera-Bible	7957	7957	7959
Holy-Bible---Myanmar---Burmese-Common-Bible	29767	29767	29794
Holy-Bible---Myanmar---Burmese-Judson	30982	30982	31103
Holy-Bible---Myanmar---Myanmar-Burmese-Judson	30846	30846	30929
Holy-Bible---Naga-Pidgin---Nagamese-Bible	7957	7957	7959
Holy-Bible---Naga-Tutsa---Tutsa-Naga-Bible	7914	7914	7916
Holy-Bible---Ndebele---Accessible-Bible	31102	31102	31103
Holy-Bible---Ndebele---Ndebele-Bible	31102	31102	31102
Holy-Bible---Ndengereko---Ndengereko-Bible	7949	7949	7956
Holy-Bible---Nend---Mark	635	635	635
Holy-Bible---Nepali---Nepali-Bible	31100	31100	31102
Holy-Bible---Ngoni---Ngoni-Bible	7957	7957	7959
Holy-Bible---Norwegian---Living-Bible	7783	7783	7784
Holy-Bible---Norwegian---Norwegian-Bible	31102	31102	31169
Holy-Bible---Norwegian---Norwegian-Student-Bible	31102	31102	31169
Holy-Bible---Oriya---Oriya-Bible	31102	31102	31104
Holy-Bible---Oromo---New-World	31101	31101	31102
Holy-Bible---Panjabi---Punjabi-Bible	31102	31102	31104
Holy-Bible---Pengo---Pengo-Bible	7827	7827	7829
Holy-Bible---Persian---Old-Persion-Version-Bible	31084	31084	31090
Holy-Bible---Persian---Open-Contemporary	29468	29468	29469
Holy-Bible---Pogolo---Pogoro-Bible	7957	7957	7959
Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-New-Alphabet	10415	10415	10416
Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-Old-Alphabet	10415	10415	10416
Holy-Bible---Polish---Open-Access-Word-of-Life	7917	7917	7918
Holy-Bible---Polish---Polish-Gdansk	31101	31101	31170
Holy-Bible---Polish---Polish-Updated-Gdansk	31102	31102	31102
Holy-Bible---Portuguese---Almeida-Bible-1911	31102	31102	31102
Holy-Bible---Portuguese---Almeida-NewOrthography	31102	31102	31106
Holy-Bible---Portuguese---Biblia-Livre	31087	31087	31102
Holy-Bible---Portuguese---Free-for-All	7941	7941	7959
Holy-Bible---Portuguese---Portuguese-Trans-Trans	7897	7897	7899
Holy-Bible---Portuguese---World-Portuguese-Bible	31098	31098	31103
Holy-Bible---Romani---Eastern-Vlakh	2280	2280	2280
Holy-Bible---Romani-Vlax---Arli-Luke	1151	1151	1151
Holy-Bible---Romani-Vlax---Chergash-Luke	1151	1151	1151
Holy-Bible---Romani-Vlax---Gurbet-Luke	1151	1151	1151
Holy-Bible---Romani-Vlax---Lovaric-Bible	133	133	133
Holy-Bible---Romani-Vlax---Servi-Bible	2284	2284	2284
Holy-Bible---Romanian---BTF-Bible	31102	31102	31102
Holy-Bible---Romanian---Bayash-Luke	1149	1149	1151
Holy-Bible---Romanian---Cyrillic	31102	31102	31102
Holy-Bible---Romanian---Free-Bible	7953	7953	7957
Holy-Bible---Romanian---Ludari-Luke	1143	1143	1143
Holy-Bible---Rote-Dela---Rote-Dela-Bible	9073	9073	9075
Holy-Bible---Russian---Russian-Synodal-Translation	31101	31101	31175
Holy-Bible---Safwa---Safwa-Bible	7950	7950	7957
Holy-Bible---Sakachep---Sakachep-Bible	7910	7910	7912
Holy-Bible---Sanskrit---Assamese-Script	7957	7957	7959
Holy-Bible---Sanskrit---Bengali-Script	7957	7957	7959
Holy-Bible---Sanskrit---Burmese-Script	7957	7957	7959
Holy-Bible---Sanskrit---Cologne-Script	7957	7957	7959
Holy-Bible---Sanskrit---Devanagari-Script	7957	7957	7959
Holy-Bible---Sanskrit---Gujarati-Script	7957	7957	7959
Holy-Bible---Sanskrit---Harvard-Kyoto-Script	7957	7957	7959
Holy-Bible---Sanskrit---IAST-Script	7957	7957	7959
Holy-Bible---Sanskrit---ISO-Script	7957	7957	7959
Holy-Bible---Sanskrit---ITRANS-Script	7957	7957	7959
Holy-Bible---Sanskrit---Kannada-Script	7957	7957	7959
Holy-Bible---Sanskrit---Khmer-Script	7957	7957	7959
Holy-Bible---Sanskrit---Malayalam-Script	7957	7957	7959
Holy-Bible---Sanskrit---Oriya-Script	7957	7957	7959
Holy-Bible---Sanskrit---Punjabi-Script	7957	7957	7959
Holy-Bible---Sanskrit---Sinhala-Script	7957	7957	7959
Holy-Bible---Sanskrit---Tamil-Script	7957	7957	7959
Holy-Bible---Sanskrit---Telugu-Script	7957	7957	7959
Holy-Bible---Sanskrit---Thai-Script	7957	7957	7959
Holy-Bible---Sanskrit---Tibetan-Script	7957	7957	7959
Holy-Bible---Sanskrit---Urdu-Script	7957	7957	7959
Holy-Bible---Sanskrit---Velthuis-Script	7957	7957	7959
Holy-Bible---Scots-Gaelic---Scots-Gaelic-Gospel-Mark	678	678	678
Holy-Bible---Serbian---Karadzic-Danicic-Latin-Script	31102	31102	31105
Holy-Bible---Serbian---Serbian-Ekavski-Bible	31102	31102	31103
Holy-Bible---Setswana---Open-Tswana-Living	7620	7620	7621
Holy-Bible---Shona---Rakasununguka	31102	31102	31103
Holy-Bible---Shona---Shona-Bible	7957	7957	7957
Holy-Bible---SlavonicChurch---Church-Slavonic-Elizabeth	31065	31065	31319
Holy-Bible---Slovene---Slovene-Savli-Bible	31102	31102	31102
Holy-Bible---Slovene---Slovene-Stritarja-NT	10413	10413	10481
Holy-Bible---Soli---Soli-Bible	7957	7957	7959
Holy-Bible---Somali---Somali-Bible	31102	31102	31103
Holy-Bible---Spanish---Biblia-Platense-Straubinger	31070	31070	31426
Holy-Bible---Spanish---Free-Bible	31086	31086	31102
Holy-Bible---Spanish---Free-for-the-World	31098	31098	31102
Holy-Bible---Spanish---Gods-Word-for-You	31057	31057	31082
Holy-Bible---Spanish---Reina-Valera-1865	31102	31102	31102
Holy-Bible---Spanish---Reina-Valera-1909	31102	31102	31115
Holy-Bible---Spanish---Reina-Valera-NT-1858	7957	7957	7958
Holy-Bible---Spanish---Sagradas-Escrituras-1569	31102	31102	31102
Holy-Bible---Spanish---Sencillo-Bible	31102	31102	31102
Holy-Bible---Swahili---Contemporary	31102	31102	31103
Holy-Bible---Swahili---New-Swahili-Bible	31101	31101	31103
Holy-Bible---Swahili---Swahili-Bible	7853	7853	7853
Holy-Bible---Swedish---Swedish-Bible	31082	31082	31153
Holy-Bible---Swedish---Swedish-Bible-1873	31102	31102	31170
Holy-Bible---Swedish---Swedish-Bible-1917	31066	31066	31093
Holy-Bible---Tagalog---Tagalog-Bible-1905	31102	31102	31102
Holy-Bible---Tagalog---Tagalog-Bible-Unlocked	31101	31101	31103
Holy-Bible---Tagin---Tagin-First-Bible	7920	7920	7922
Holy-Bible---Tamil---Open-Contemporary	31102	31102	31103
Holy-Bible---Tamil---Tamil-Bible	31102	31102	31103
Holy-Bible---Telugu---Telugu-Bible	31038	31038	31041
Holy-Bible---Tongan---Revised-West-Version	31102	31102	31102
Holy-Bible---Tsakhur---Tsakhur-Bible	5561	5561	5562
Holy-Bible---Turkish---Turkish-Bible	30238	30238	30239
Holy-Bible---Twi---Akuapem-Twi-Bible	31098	31098	31100
Holy-Bible---Twi---Asante-Twi-WASNA	31098	31098	31100
Holy-Bible---Ukrainian---New-Translation	10418	10418	10486
Holy-Bible---Ukrainian---Ukrainian-NT	7957	7957	7957
Holy-Bible---Ukrainian---Ukrainian-Ogienko	31094	31094	31164
Holy-Bible---Urdu---Urdu-Bible	31102	31102	31104
Holy-Bible---Uyghur---Uyghur-Bible-Arabic	30822	30822	30825
Holy-Bible---Uyghur---Uyghur-Bible-Cyrillic	30829	30829	30896
Holy-Bible---Uyghur---Uyghur-Bible-Latin	30829	30829	30832
Holy-Bible---Uyghur---Uyghur-Bible-Pinyin	30828	30828	30831
Holy-Bible---Vietnamese---Contemporary	31094	31094	31096
Holy-Bible---Vietnamese---Vietnamese-Bible	31102	31102	31102
Holy-Bible---Vietnamese---Vietnamese-Bible-1934	31102	31102	31102
Holy-Bible---Vwanji---Vwanji-Bible	7951	7951	7958
Holy-Bible---Yombe---Yombe-Bible	10414	10414	10416
Holy-Bible---Yoruba---Yoruba-Bible	31086	31086	31087
