# File Name: UNTRANSLATECOUNT.txt
# File Size: 22098       
# File Date: 10/18/2022 09:56:37
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2022
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	HELL_ALL	HELL_OUT	SHEOL	GEHENNA	HADES	ABYSS	TARTARUS	LOF	AION	AIONIAN	AION-2	AIDIOS	AION_OUT	CUSTOM	OUT	IN	VERSE_DO	VERSE_OK	VERSE_SK	VERSE_NO	VERSE_ER	VERSE_CK
Holy-Bible---Tongan---Revised-West-Version	0	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Turkish---Turkish-Bible	0	0	63	12	11	9	1	5	94	64	10	2	0	0	0	271	263	263	0	0	0	0
Holy-Bible---Ukrainian---Ukrainian-NT	0	1	0	12	11	9	1	5	94	64	10	2	0	1	1	208	201	200	0	63	0	1
Holy-Bible---Ukrainian---Ukrainian-Ogienko	0	0	63	12	11	9	1	5	94	64	10	2	0	0	0	271	263	263	0	0	0	0
Holy-Bible---Urdu---Urdu-Bible	0	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Uyghur---Uyghur-Bible-Arabic	0	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Uyghur---Uyghur-Bible-Cyrillic	0	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Uyghur---Uyghur-Bible-Latin	0	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Uyghur---Uyghur-Bible-Pinyin	0	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Vietnamese---Vietnamese-Bible	139	0	63	12	11	9	1	5	94	64	10	2	0	0	0	271	263	263	0	0	0	0
Holy-Bible---Vietnamese---Vietnamese-Bible-1934	138	0	63	12	11	9	1	5	94	64	10	2	0	0	0	271	263	263	0	0	0	0
Holy-Bible---Vwanji---Vwanji-Bible	0	0	0	12	11	9	1	5	93	64	10	2	0	1	0	207	200	199	0	63	1	1
